,Año,Trimestre,Provincia,Mbps (Media de bajada)
0,2022,4,Buenos Aires,"111,0"
1,2022,4,Capital Federal,"182,86"
2,2022,4,Catamarca,"83,33"
3,2022,4,Chaco,"104,02"
4,2022,4,Chubut,"15,92"
5,2022,4,Córdoba,"108,77"
6,2022,4,Corrientes,"94,72"
7,2022,4,Entre Ríos,"87,47"
8,2022,4,Formosa,"72,03"
9,2022,4,Jujuy,"39,32"
10,2022,4,La Pampa,"19,1"
11,2022,4,La Rioja,"61,0"
12,2022,4,Mendoza,"38,76"
13,2022,4,Misiones,"91,24"
14,2022,4,Neuquén,"95,37"
15,2022,4,Río Negro,"75,31"
16,2022,4,Salta,"75,93"
17,2022,4,San Juan,"16,39"
18,2022,4,San Luis,"30,67"
19,2022,4,Santa Cruz,"14,33"
20,2022,4,Santa Fe,"90,3"
21,2022,4,Santiago Del Estero,"34,4"
22,2022,4,Tierra Del Fuego,"13,48"
23,2022,4,Tucumán,"88,33"
24,2022,3,Buenos Aires,"70,19"
25,2022,3,Capital Federal,"101,05"
26,2022,3,Catamarca,"60,99"
27,2022,3,Chaco,"53,21"
28,2022,3,Chubut,"15,57"
29,2022,3,Córdoba,"56,32"
30,2022,3,Corrientes,"45,07"
31,2022,3,Entre Ríos,"42,49"
32,2022,3,Formosa,"30,35"
33,2022,3,Jujuy,"32,43"
34,2022,3,La Pampa,"18,1"
35,2022,3,La Rioja,"44,3"
36,2022,3,Mendoza,"34,16"
37,2022,3,Misiones,"49,3"
38,2022,3,Neuquén,"47,81"
39,2022,3,Río Negro,"34,13"
40,2022,3,Salta,"41,33"
41,2022,3,San Juan,"15,84"
42,2022,3,San Luis,"19,33"
43,2022,3,Santa Cruz,"12,6"
44,2022,3,Santa Fe,"45,15"
45,2022,3,Santiago Del Estero,"17,69"
46,2022,3,Tierra Del Fuego,"11,01"
47,2022,3,Tucumán,"53,36"
48,2022,2,Buenos Aires,"65,5"
49,2022,2,Capital Federal,"93,97"
50,2022,2,Catamarca,"56,56"
51,2022,2,Chaco,"50,61"
52,2022,2,Chubut,"14,91"
53,2022,2,Córdoba,"53,51"
54,2022,2,Corrientes,"43,31"
55,2022,2,Entre Ríos,"40,03"
56,2022,2,Formosa,"28,47"
57,2022,2,Jujuy,"29,39"
