HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Total_x,año_trimestre_provincia,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_y
28934,23347,259866,281550,244555,98670,3760109,4794665,2022-4-Buenos Aires,2022,4,Buenos Aires,325908.0,2767247.0,1499149.0,129910.0,72451.0,4794665.0
516,5096,31320,64653,36336,8116,1299117,1551926,2022-4-Capital Federal,2022,4,Capital Federal,138753.0,1238196.0,138548.0,4603.0,31826.0,1551926.0
71,315,2716,5028,4638,3122,52739,70909,2022-4-Catamarca,2022,4,Catamarca,8952.0,10998.0,47337.0,1379.0,2243.0,70909.0
461,771,16067,17846,6704,3039,94866,143663,2022-4-Chaco,2022,4,Chaco,24582.0,61265.0,47285.0,7957.0,2574.0,143663.0
109,1614,46457,31007,34728,15770,19048,168759,2022-4-Chubut,2022,4,Chubut,45450.0,73923.0,9815.0,30721.0,8850.0,168759.0
99,9929,143686,108195,63120,20691,686330,1049660,2022-4-Córdoba,2022,4,Córdoba,152265.0,456947.0,367393.0,61631.0,11424.0,1049660.0
67,3282,22647,24858,7025,3770,85806,155453,2022-4-Corrientes,2022,4,Corrientes,34038.0,80283.0,26752.0,9082.0,5298.0,155453.0
107,4722,45629,46700,20927,22483,130406,270974,2022-4-Entre Ríos,2022,4,Entre Ríos,55507.0,135746.0,40798.0,26414.0,12509.0,270974.0
84,245,22458,12391,6724,310,18930,61840,2022-4-Formosa,2022,4,Formosa,13735.0,17068.0,13118.0,17692.0,227.0,61840.0
58,1763,18652,14070,36430,335,46910,118218,2022-4-Jujuy,2022,4,Jujuy,17880.0,52390.0,42626.0,4067.0,1255.0,118218.0
68,1687,52618,10334,9167,4479,19783,114164,2022-4-La Pampa,2022,4,La Pampa,7785.0,60566.0,24552.0,19995.0,1266.0,114164.0
